borough,neighborhood,id,race,estimate
Brooklyn,Brooklyn Heights-Cobble Hill                                   ,BK09,HspE,1866.0
Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,HspE,4562.0
Brooklyn,Brighton Beach                                                 ,BK19,HspE,4334.0
Brooklyn,Seagate-Coney Island                                           ,BK21,HspE,6108.0
Brooklyn,West Brighton                                                  ,BK23,HspE,121.0
Brooklyn,Homecrest                                                      ,BK25,HspE,3237.0
Brooklyn,Gravesend                                                      ,BK26,HspE,3850.0
Brooklyn,Bath Beach                                                     ,BK27,HspE,3862.0
Brooklyn,Bensonhurst West                                               ,BK28,HspE,13024.0
Brooklyn,Bensonhurst East                                               ,BK29,HspE,7047.0
Brooklyn,Dyker Heights                                                  ,BK30,HspE,4580.0
Brooklyn,Bay Ridge                                                      ,BK31,HspE,13923.0
Brooklyn,Sunset Park West                                               ,BK32,HspE,35424.0
Brooklyn,Carroll Gardens-Columbia Street-Red Hook                       ,BK33,HspE,8558.0
Brooklyn,Sunset Park East                                               ,BK34,HspE,23465.0
Brooklyn,Stuyvesant Heights                                             ,BK35,HspE,13702.0
Brooklyn,Park Slope-Gowanus                                             ,BK37,HspE,12938.0
Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum H                  ,BK38,HspE,8609.0
Brooklyn,Windsor Terrace                                                ,BK40,HspE,3054.0
Brooklyn,Kensington-Ocean Parkway                                       ,BK41,HspE,5264.0
Brooklyn,Flatbush                                                       ,BK42,HspE,18893.0
Brooklyn,Midwood                                                        ,BK43,HspE,3643.0
Brooklyn,Madison                                                        ,BK44,HspE,2645.0
Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basi                  ,BK45,HspE,4524.0
Brooklyn,Ocean Parkway South                                            ,BK46,HspE,1698.0
Brooklyn,Canarsie                                                       ,BK50,HspE,6749.0
Brooklyn,Flatlands                                                      ,BK58,HspE,5494.0
Brooklyn,Prospect Lefferts Gardens-Wingate                              ,BK60,HspE,6841.0
Brooklyn,Crown Heights North                                            ,BK61,HspE,11836.0
Brooklyn,Crown Heights South                                            ,BK63,HspE,3729.0
Brooklyn,Prospect Heights                                               ,BK64,HspE,2806.0
Brooklyn,Fort Greene                                                    ,BK68,HspE,5560.0
Brooklyn,Clinton Hill                                                   ,BK69,HspE,5856.0
Brooklyn,Williamsburg                                                   ,BK72,HspE,3071.0
Brooklyn,North Side-South Side                                          ,BK73,HspE,19017.0
Brooklyn,Bedford                                                        ,BK75,HspE,13086.0
Brooklyn,Greenpoint                                                     ,BK76,HspE,4433.0
Brooklyn,Bushwick North                                                 ,BK77,HspE,46692.0
Brooklyn,Bushwick South                                                 ,BK78,HspE,44553.0
Brooklyn,Ocean Hill                                                     ,BK79,HspE,5492.0
Brooklyn,Brownsville                                                    ,BK81,HspE,10095.0
Brooklyn,East New York                                                  ,BK82,HspE,25455.0
